"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"4f75b2e18a41280d3a51b71dfd217114",8.85896010228995e-206,"nb",10696.0486112852,1,0,"1_vs_0",4.34089045012208e-204,"order",1,"4f75b2e18a41280d3a51b71dfd217114order"
"4f75b2e18a41280d3a51b71dfd217114",1.89277430105545e-205,"nb",10632.6006072983,1,0,"1_vs_0",3.36913825587871e-203,"genus",2,"4f75b2e18a41280d3a51b71dfd217114genus"
"639672056ddfd18a689d67ba219c3949",5.55087927898195e-93,"nb",9397.85606930777,1,0,"1_vs_0",4.94028255829393e-91,"genus",3,"639672056ddfd18a689d67ba219c3949genus"
"30d87e91be256a2b5f96b636ef04cda2",3.18741484098272e-91,"nb",17304.0319227576,1,0,"1_vs_0",1.89119947231641e-89,"genus",4,"30d87e91be256a2b5f96b636ef04cda2genus"
"b6ebd5803375c0c9a35829056727c9fc",1.78731620110418e-60,"nb",4072.23998578638,1,0,"1_vs_0",7.95355709491359e-59,"genus",5,"b6ebd5803375c0c9a35829056727c9fcgenus"
"ef868a9f9181104c630bce11a89cffee",2.62137998187478e-57,"nb",186097.492243886,1,0,"1_vs_0",9.33211273547422e-56,"genus",6,"ef868a9f9181104c630bce11a89cffeegenus"
"c72a384d64a1a7d58c56ec4e7d2ea277",6.70729080130068e-57,"nb",2589.53649645951,1,0,"1_vs_0",1.98982960438587e-55,"genus",7,"c72a384d64a1a7d58c56ec4e7d2ea277genus"
"ebd83f31171d55342ce685111a429664",1.65913606685337e-47,"nb",3187.07988901436,1,0,"1_vs_0",4.21894599856999e-46,"genus",8,"ebd83f31171d55342ce685111a429664genus"
"66d5d32176dc67ca5d677fff17c9958b",1.43671992555791e-45,"nb",1393.77887684666,1,0,"1_vs_0",3.19670183436636e-44,"genus",9,"66d5d32176dc67ca5d677fff17c9958bgenus"
"937aa3d1b6bf848fed5bdb6fd3140c84",6.90308397428545e-37,"nb",11471.3048406988,1,0,"1_vs_0",1.36527660824757e-35,"genus",10,"937aa3d1b6bf848fed5bdb6fd3140c84genus"
