"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",18479.0296101275,1,0,"1_vs_0",0,"phylum",1,"1b039cbaab99f38bec0461ac24d07eecphylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",50453.059679471,1,0,"1_vs_0",0,"phylum",2,"2bf1dfcdeca6629135f4014f138344aephylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",49622.9964780295,1,0,"1_vs_0",0,"phylum",3,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",18459.2734088709,1,0,"1_vs_0",0,"order",4,"1b039cbaab99f38bec0461ac24d07eecorder"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",79728.9322569121,1,0,"1_vs_0",0,"order",5,"2bf1dfcdeca6629135f4014f138344aeorder"
"abdbe368fbd4c7c608e05ef71713340a",0,"p",33861.8616846033,1,0,"1_vs_0",0,"order",6,"abdbe368fbd4c7c608e05ef71713340aorder"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",49620.9479340642,1,0,"1_vs_0",0,"order",7,"3ab61ffb86b753b43f425d630a87e7a1order"
"012ef658933550c9ae6719455ba247de",0,"p",22578.6075437916,1,0,"1_vs_0",0,"order",8,"012ef658933550c9ae6719455ba247deorder"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",174266.646859678,1,0,"1_vs_0",0,"genus",9,"1b039cbaab99f38bec0461ac24d07eecgenus"
"ddb5124b46f97d3a81bcba281fde7ee7",0,"p",211359.616626558,1,0,"1_vs_0",0,"genus",10,"ddb5124b46f97d3a81bcba281fde7ee7genus"
