"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"ce4aa74df6165cfd3b5067fe005f94c4",3.96185850229505e-05,"zinb",362.241693710271,1,0,"1_vs_0",0.00314023436649594,"genus",1,"ce4aa74df6165cfd3b5067fe005f94c4genus"
"bc0aa157d29d6604c19bf4e18b37bc88",5.06489413950958e-05,"zinb",75.6366535667281,1,0,"1_vs_0",0.00314023436649594,"genus",2,"bc0aa157d29d6604c19bf4e18b37bc88genus"
"b6ebd5803375c0c9a35829056727c9fc",0.000430138560565885,"zinb",145.11650418863,1,0,"1_vs_0",0.0177790605033899,"genus",3,"b6ebd5803375c0c9a35829056727c9fcgenus"
"91d07d7e704974ed88096c0e74a6ba1e",0.000719517337322156,"zinb",217.258916104867,1,0,"1_vs_0",0.0223050374569868,"genus",4,"91d07d7e704974ed88096c0e74a6ba1egenus"
"caa2afe37f56d88a6258631ba289e9f7",0.00476418768067747,"zinb",308.724462554926,1,0,"1_vs_0",0.114528508839778,"genus",5,"caa2afe37f56d88a6258631ba289e9f7genus"
"e2bb29fbf7c47b29fb1465fc6492ba25",0.00554170204063443,"zinb",32.5888261633887,1,0,"1_vs_0",0.114528508839778,"genus",6,"e2bb29fbf7c47b29fb1465fc6492ba25genus"
"e31f9ce930e813ad3cc0390b0f8b5a9c",0.00751113953891913,"zinb",426.760333241563,1,0,"1_vs_0",0.128601508177565,"genus",7,"e31f9ce930e813ad3cc0390b0f8b5a9cgenus"
"67f65cce6e956e557b65b223f4aa8288",0.00829687149532675,"zinb",43.8312613811078,1,0,"1_vs_0",0.128601508177565,"genus",8,"67f65cce6e956e557b65b223f4aa8288genus"
"69b7bf31c6bdd293fa911662b38b206a",0.00945811766108348,"zinb",78.7232995831903,1,0,"1_vs_0",0.130311843330483,"genus",9,"69b7bf31c6bdd293fa911662b38b206agenus"
"8d59043eb030bf024284481d9adff5ed",0.014351897310723,"zinb",51.8007436247534,1,0,"1_vs_0",0.177963526652965,"genus",10,"8d59043eb030bf024284481d9adff5edgenus"
