"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",17516.3738302579,1,0,"1_vs_0",0,"phylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",43651.1644662167,1,0,"1_vs_0",0,"phylum"
"ef26904830b91caa86a460c041c77fd4",0,"p",107581.958221066,1,0,"1_vs_0",0,"phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",43169.8718965285,1,0,"1_vs_0",0,"phylum"
"9aa3baf0e1ca0d9f7c5b119e42c52153",1.44990090595476e-116,"p",15702.0486079188,1,0,"1_vs_0",4.63968289905523e-116,"phylum"
"c1f83bd0eac0f5b9b6bb409c55d831e0",0.113029604083957,"p",11674.0566698473,1,0,"1_vs_0",0.150706138778609,"phylum"
"183d7a6a20b38695342d58bce245f3be",2.46955296312462e-59,"p",14506.8876271836,1,0,"1_vs_0",5.64469248714198e-59,"phylum"
"8bd14caf6a3b2664d15ef6c5d7a23eef",1.0941064374127e-20,"p",8367.42496712385,1,0,"1_vs_0",1.75057029986032e-20,"phylum"
"777bf3ba74100b7a4dbd872959a84eeb",3.06703190402213e-24,"p",6587.60140662041,1,0,"1_vs_0",5.45250116270601e-24,"phylum"
"ae71c2e538a51e571a12a1d35ecb3975",2.25208715442962e-80,"p",2674.28562831866,1,0,"1_vs_0",6.00556574514564e-80,"phylum"
"f50d1d42a442560b41612992aa2a07c3",9.31041453987048e-46,"p",1941.12801406855,1,0,"1_vs_0",1.8620829079741e-45,"phylum"
"54990f8a1d19297ca852c5f1a8077299",1.66215855256419e-05,"p",391.207006738533,1,0,"1_vs_0",2.41768516736609e-05,"phylum"
"36b0b251d44111826aa72760204004f9",0.827562677808828,"p",311.29273741356,1,0,"1_vs_0",0.997393190005631,"phylum"
"0ed4ba32ebfb689312a43dd1d7ed8184",0.992863363531188,"p",69.369279165911,1,0,"1_vs_0",0.997393190005631,"phylum"
"002de19ab0f5022890e5b0d5b70d03e5",0.996779723847464,"p",18.7590252567021,1,0,"1_vs_0",0.997393190005631,"phylum"
"536092e795cffb88b773ce7a825bf36e",0.997393190005631,"p",15.639803344993,1,0,"1_vs_0",0.997393190005631,"phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",17496.7886241546,1,0,"1_vs_0",0,"order"
"ef26904830b91caa86a460c041c77fd4",0,"p",109168.342940709,1,0,"1_vs_0",0,"order"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",65261.360164074,1,0,"1_vs_0",0,"order"
"abdbe368fbd4c7c608e05ef71713340a",0,"p",33336.6137659334,1,0,"1_vs_0",0,"order"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",43168.6414347187,1,0,"1_vs_0",0,"order"
"012ef658933550c9ae6719455ba247de",5.21209117435214e-226,"p",25838.4192628097,1,0,"1_vs_0",3.6484638220465e-225,"order"
"9aa3baf0e1ca0d9f7c5b119e42c52153",1.77475739932581e-116,"p",15703.7536744953,1,0,"1_vs_0",8.69631125669645e-116,"order"
"30d87e91be256a2b5f96b636ef04cda2",5.89672129966215e-12,"p",15403.8609512306,1,0,"1_vs_0",1.37590163658784e-11,"order"
"183d7a6a20b38695342d58bce245f3be",2.74507163071842e-59,"p",14506.3664778388,1,0,"1_vs_0",8.96723399368016e-59,"order"
"4f75b2e18a41280d3a51b71dfd217114",0,"p",9508.07716644233,1,0,"1_vs_0",0,"order"
"a1383ebba0a369e5027e252e0f7587c3",7.47973482568159e-134,"p",9628.94606252025,1,0,"1_vs_0",4.58133758072998e-133,"order"
"efe7cb6441176642e881f2abe0b4566f",2.64546178623415e-05,"p",5464.9077559017,1,0,"1_vs_0",5.63598380545536e-05,"order"
"8bd14caf6a3b2664d15ef6c5d7a23eef",1.17292301593927e-20,"p",8369.74237445444,1,0,"1_vs_0",2.87366138905121e-20,"order"
"c1f83bd0eac0f5b9b6bb409c55d831e0",0.0464568584994042,"p",11242.8888729672,1,0,"1_vs_0",0.0689813959536607,"order"
"667c7ff5d8981b1c1eb8efc23b295ca2",0.0136701560703164,"p",6225.67757330703,1,0,"1_vs_0",0.0230978499119139,"order"
"218d7fe9eb2b82133c504cb4c7ab8076",5.05757007440975e-117,"p",5099.96165913508,1,0,"1_vs_0",2.75356592940086e-116,"order"
"777bf3ba74100b7a4dbd872959a84eeb",2.96248453118945e-24,"p",6587.14334108106,1,0,"1_vs_0",7.64009168569911e-24,"order"
"fe1644129eb6fb34078f939c04915813",1.07027986339237e-101,"p",7449.80370782677,1,0,"1_vs_0",4.37030944218551e-101,"order"
"2717c55a33435a4cf9c4953837bac9f4",0.00115966012640508,"p",3596.04317858185,1,0,"1_vs_0",0.00218551331514804,"order"
"d28313e755b0d735a3f5db93b60345b9",4.59175378925333e-65,"p",2881.43233636582,1,0,"1_vs_0",1.60711382623867e-64,"order"
"ae71c2e538a51e571a12a1d35ecb3975",2.33483198287996e-80,"p",2674.22477990517,1,0,"1_vs_0",8.80052055085525e-80,"order"
"7564945495f0d840065ec35193e54153",4.69671154115384e-25,"p",1664.07787150164,1,0,"1_vs_0",1.27854925286966e-24,"order"
"032fc3717d8136fccddb555b0aa201a3",5.09833385267296e-115,"p",2998.56760616726,1,0,"1_vs_0",2.27107598891796e-114,"order"
"bd5234b0aaa60ba523cb74655725193c",0.0111187734344848,"p",2629.68948373884,1,0,"1_vs_0",0.0199907664688422,"order"
"f50d1d42a442560b41612992aa2a07c3",9.56173682056108e-46,"p",1941.26144377776,1,0,"1_vs_0",2.92828190129683e-45,"order"
"f0b52d5da8a6dfae05a2c3125f970408",1.55919042372782e-32,"p",1758.37813918688,1,0,"1_vs_0",4.49413710368607e-32,"order"
"d0fae733b7242a6aa4da9bb089246416",9.31571105849158e-05,"p",928.819967980785,1,0,"1_vs_0",0.000190195767444203,"order"
"220a9561f31211deb4aed7c6805ac8e8",0.0197136369006597,"p",611.779780768668,1,0,"1_vs_0",0.0321989402710774,"order"
"5b453df6de22132fb2563df13a7731f3",1.86795900722294e-09,"p",445.015007438814,1,0,"1_vs_0",4.16045415245109e-09,"order"
"d730e96249a0e8a57ac0afbe9d7e29e5",0.000108045484884809,"p",400.854051396794,1,0,"1_vs_0",0.000211769150374226,"order"
"54990f8a1d19297ca852c5f1a8077299",0.0376198747499372,"p",391.154475061871,1,0,"1_vs_0",0.0576054332108413,"order"
"64b2878acd46b25aa1c29c807aafa506",0.0692334295695995,"p",334.895573314667,1,0,"1_vs_0",0.0969268013974392,"order"
"36b0b251d44111826aa72760204004f9",0.828026924536538,"p",311.336522829501,1,0,"1_vs_0",0.997393200658143,"order"
"9254799d4a8b65d9ecf85599fec186e3",0.534607572265043,"p",274.697624450391,1,0,"1_vs_0",0.727660306694087,"order"
"509009e23b0b5922f0580934f82f256e",0.992908673661942,"p",77.2964562060833,1,0,"1_vs_0",0.997393200658143,"order"
"20a1660a7a223afa756767338e4070e0",0.988704394561572,"p",91.12337659505,1,0,"1_vs_0",0.997393200658143,"order"
"0ed4ba32ebfb689312a43dd1d7ed8184",0.992863392293893,"p",69.3692791659121,1,0,"1_vs_0",0.997393200658143,"order"
"8469df96133113f92939d40d2c28b015",0.0208525341555713,"p",202.440771621203,1,0,"1_vs_0",0.0329604572136449,"order"
"5f1df7c6a1ef58d2e5c8343cdde3eac3",0.0114232951250527,"p",149.624310261241,1,0,"1_vs_0",0.0199907664688422,"order"
"3ba0b53748d15732a532c6f9529e51e0",0.993184400259463,"p",43.8749720315935,1,0,"1_vs_0",0.997393200658143,"order"
"4a1022dff830f4264b5bc30eefdabdf2",0.992960444538142,"p",51.9873728230029,1,0,"1_vs_0",0.997393200658143,"order"
"88405aaacec2909224b83feb41e70da6",0.0516814920254978,"p",57.6088785751357,1,0,"1_vs_0",0.0744821502720409,"order"
"232a393b743059f8ea5ab237366dcd6c",0.994576726858918,"p",44.2404608550412,1,0,"1_vs_0",0.997393200658143,"order"
"f65b7ddde2bd3ad845dc9d701333a7fc",0.99486596997609,"p",25.8460051185867,1,0,"1_vs_0",0.997393200658143,"order"
"002de19ab0f5022890e5b0d5b70d03e5",0.996779697541243,"p",18.7584374314799,1,0,"1_vs_0",0.997393200658143,"order"
"141d2243a2962449d048c866d7336aac",0.996779697567085,"p",19.6306716719981,1,0,"1_vs_0",0.997393200658143,"order"
"536092e795cffb88b773ce7a825bf36e",0.997393200658143,"p",15.6398033449932,1,0,"1_vs_0",0.997393200658143,"order"
"8fad62a1de42b143be936d71c98dc28f",0.995921563250887,"p",16.8701337793404,1,0,"1_vs_0",0.997393200658143,"order"
"a923f0209bea2c56cf370129ae7ad53e",0.995921563250888,"p",16.8701337793404,1,0,"1_vs_0",0.997393200658143,"order"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",138025.826302597,1,0,"1_vs_0",0,"genus"
"ddb5124b46f97d3a81bcba281fde7ee7",0,"p",180185.61789081,1,0,"1_vs_0",0,"genus"
"6a2635af5e61db824708f2a95508a4b5",0,"p",170212.633053681,1,0,"1_vs_0",0,"genus"
"1e44183228ee1bab30a2a69f16aee8c6",6.46806546997306e-301,"p",116820.74393376,1,0,"1_vs_0",8.22368324039432e-300,"genus"
"7ec2e0de3e22b59c14e75484480b550c",0,"p",53579.9286919376,1,0,"1_vs_0",0,"genus"
"ef26904830b91caa86a460c041c77fd4",0,"p",110050.094753606,1,0,"1_vs_0",0,"genus"
"ef868a9f9181104c630bce11a89cffee",0,"p",180967.370717658,1,0,"1_vs_0",0,"genus"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",64897.3249918595,1,0,"1_vs_0",0,"genus"
"8a76ae8f05f80339a90912b26ea25f46",0.00783213315090321,"p",132705.79514072,1,0,"1_vs_0",0.0135351427268036,"genus"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",42892.4933750919,1,0,"1_vs_0",0,"genus"
"31838e38978812ddc9e0a8a7d40cc0c2",0,"p",35218.7179644535,1,0,"1_vs_0",0,"genus"
"ce4aa74df6165cfd3b5067fe005f94c4",1.53488970048098e-90,"p",31934.795641008,1,0,"1_vs_0",9.42104712709012e-90,"genus"
"abdbe368fbd4c7c608e05ef71713340a",2.50948090926935e-107,"p",36206.5075291176,1,0,"1_vs_0",1.86119834104144e-106,"genus"
"e31f9ce930e813ad3cc0390b0f8b5a9c",0,"p",12864.3552062918,1,0,"1_vs_0",0,"genus"
"9aa3baf0e1ca0d9f7c5b119e42c52153",6.34315494948503e-115,"p",15774.1869472273,1,0,"1_vs_0",5.37657895718255e-114,"genus"
"ebdd31c2ddfb8569d611a614383e615c",6.86023576759625e-75,"p",21030.7283168441,1,0,"1_vs_0",3.81600614572542e-74,"genus"
"30d87e91be256a2b5f96b636ef04cda2",0.0025643629399336,"p",17716.0206581627,1,0,"1_vs_0",0.00461067276068869,"genus"
"3c74744397053ce981bef9ea5e0bc926",0,"p",24791.5738113741,1,0,"1_vs_0",0,"genus"
"183d7a6a20b38695342d58bce245f3be",9.97979648107573e-59,"p",14406.0312146304,1,0,"1_vs_0",4.67474677271442e-58,"genus"
"4f75b2e18a41280d3a51b71dfd217114",0,"p",9443.84976727324,1,0,"1_vs_0",0,"genus"
"9e0e1c132276e26164f00d28654177ba",1.26840106188716e-44,"p",16874.212122615,1,0,"1_vs_0",5.13125884127077e-44,"genus"
"9a1ac984fe0ec22a65cce00e01f43aa4",0,"p",16743.4744005751,1,0,"1_vs_0",0,"genus"
"a1383ebba0a369e5027e252e0f7587c3",3.7742391361191e-134,"p",9664.10868926952,1,0,"1_vs_0",3.95185038958353e-133,"genus"
"012ef658933550c9ae6719455ba247de",1.12300015720712e-189,"p",11056.9516379047,1,0,"1_vs_0",1.24933767489292e-188,"genus"
"684f3fce4d1d41f68d47d11786f8f0b1",3.61628152565649e-07,"p",10864.6970820213,1,0,"1_vs_0",8.35971573463449e-07,"genus"
"8bd14caf6a3b2664d15ef6c5d7a23eef",1.31957869502388e-33,"p",8260.2023364856,1,0,"1_vs_0",4.99755335562234e-33,"genus"
"c1f83bd0eac0f5b9b6bb409c55d831e0",0.981032346731915,"p",11716.3141599222,1,0,"1_vs_0",0.997393233314635,"genus"
"667c7ff5d8981b1c1eb8efc23b295ca2",0.0164113684626179,"p",6290.75673807799,1,0,"1_vs_0",0.0268002163884953,"genus"
"937aa3d1b6bf848fed5bdb6fd3140c84",4.70925925544326e-115,"p",11118.8089824826,1,0,"1_vs_0",4.19124073734451e-114,"genus"
"218d7fe9eb2b82133c504cb4c7ab8076",1.71518890196601e-116,"p",5056.03332723359,1,0,"1_vs_0",1.60686118184184e-115,"genus"
"cc123101a9c3b4bab74a5a3407e5d5be",6.64786291608742e-293,"p",4550.47580404332,1,0,"1_vs_0",7.88879732709041e-292,"genus"
"180c3f23e6a6d5b5080b8d0cb8b1ea08",2.22997900874014e-06,"p",4913.75536163216,1,0,"1_vs_0",4.73001948049255e-06,"genus"
"b2ac8b983a4ad1dd12b86b4b4cee89eb",2.2333538338597e-72,"p",7665.63314982924,1,0,"1_vs_0",1.20465752250614e-71,"genus"
"639672056ddfd18a689d67ba219c3949",4.2182598743525e-114,"p",9340.84021800477,1,0,"1_vs_0",3.26456633754237e-113,"genus"
"0a165f06143b55d6d391ad23520dea2f",7.30073160248874e-69,"p",5587.88800021747,1,0,"1_vs_0",3.71294350069427e-68,"genus"
"fe1644129eb6fb34078f939c04915813",3.6006972177167e-101,"p",7396.27989292205,1,0,"1_vs_0",2.56369641901429e-100,"genus"
"d15673a98765008fa157068b760bee52",1.52984092825849e-59,"p",4146.99128229327,1,0,"1_vs_0",7.35977527648678e-59,"genus"
"b6ebd5803375c0c9a35829056727c9fc",2.7706334028362e-95,"p",3928.41640066083,1,0,"1_vs_0",1.82656572483276e-94,"genus"
"6ae2065e64091eefa806befebbad064c",4.53170175621257e-47,"p",4524.99827647322,1,0,"1_vs_0",1.87591375024614e-46,"genus"
"91d07d7e704974ed88096c0e74a6ba1e",1.2777432078211e-14,"p",4816.78951639154,1,0,"1_vs_0",3.61013160305009e-14,"genus"
"2717c55a33435a4cf9c4953837bac9f4",0.000984432493662289,"p",3607.37871829767,1,0,"1_vs_0",0.00186413812629668,"genus"
"777bf3ba74100b7a4dbd872959a84eeb",3.7409345832261e-70,"p",2871.36196380864,1,0,"1_vs_0",1.9584892818066e-69,"genus"
"97e29780fcdca010751c33e140e2d29c",3.25575890532263e-05,"p",4549.67650186931,1,0,"1_vs_0",6.66120787525779e-05,"genus"
"5ffd714a8da718ec7869d163ecbd57f8",2.25822379640408e-43,"p",3226.84749223063,1,0,"1_vs_0",8.9325296835539e-43,"genus"
"26fdd5bb320641d3df928bd12ea3799a",0.948998897225178,"p",2223.38081156506,1,0,"1_vs_0",0.997393233314635,"genus"
"ebd83f31171d55342ce685111a429664",3.63652327305756e-06,"p",3394.59752947968,1,0,"1_vs_0",7.61530756004995e-06,"genus"
"d28313e755b0d735a3f5db93b60345b9",2.272141686153e-49,"p",3411.62815956464,1,0,"1_vs_0",9.86442000329838e-49,"genus"
"6b042b48e48575384e883f0e55f1d66d",1.98769008880007e-10,"p",5126.83844381789,1,0,"1_vs_0",5.12766428704947e-10,"genus"
"1a34ed6eb9566e4a4c90989cee8056f8",1.97057667379517e-50,"p",3149.27593713481,1,0,"1_vs_0",8.76906619838852e-50,"genus"
"ae71c2e538a51e571a12a1d35ecb3975",3.62965325061796e-80,"p",2660.98005908689,1,0,"1_vs_0",2.15359426203332e-79,"genus"
"29198b359abb53cc620afa608b950bd9",5.26370605873211e-12,"p",2410.13074631727,1,0,"1_vs_0",1.41960557341563e-11,"genus"
"a45c91f2a08c19e2f2252a1e7fbcf948",5.98507362359353e-118,"p",5070.67189812029,1,0,"1_vs_0",5.9185728055536e-117,"genus"
"7d5a3fd493eb86dd63d1ea6f4d01575a",4.99123597110541e-07,"p",3648.46843092178,1,0,"1_vs_0",1.12460759855286e-06,"genus"
"22d16daf5ea09c461afb44e4f21ab106",1.0336184087059e-92,"p",4055.65432574321,1,0,"1_vs_0",6.57085988391608e-92,"genus"
"7564945495f0d840065ec35193e54153",4.48659505496485e-25,"p",1662.44570255058,1,0,"1_vs_0",1.53579599958412e-24,"genus"
"efe7cb6441176642e881f2abe0b4566f",3.12516833849989e-14,"p",3415.26627343112,1,0,"1_vs_0",8.69187444145281e-14,"genus"
"2586d3a48f07e1aad5eebabd9dca0bed",3.17711373154886e-17,"p",3723.59933397998,1,0,"1_vs_0",9.58519057992706e-17,"genus"
"c72a384d64a1a7d58c56ec4e7d2ea277",9.57497025246134e-98,"p",2380.75440535229,1,0,"1_vs_0",6.55517194206969e-97,"genus"
"d7bcd2d5d73140edaa58294326db404e",1.15321640030187e-11,"p",2974.61511514853,1,0,"1_vs_0",3.06376894408556e-11,"genus"
"032fc3717d8136fccddb555b0aa201a3",1.02346340881515e-114,"p",2973.02908163597,1,0,"1_vs_0",8.28074939859528e-114,"genus"
"caa2afe37f56d88a6258631ba289e9f7",1.21404323744635e-79,"p",2870.05502901466,1,0,"1_vs_0",6.9709579440468e-79,"genus"
"d4055296c3bb8a48a9b37dc101c71f01",4.40710978266897e-16,"p",2315.88837103929,1,0,"1_vs_0",1.30744256885846e-15,"genus"
"50dd335864e0cbe285c3b961b86ed629",3.52058227080312e-47,"p",1644.64179936482,1,0,"1_vs_0",1.49205629572132e-46,"genus"
"69b7bf31c6bdd293fa911662b38b206a",4.17480167752463e-43,"p",1282.9968720187,1,0,"1_vs_0",1.61546673608562e-42,"genus"
"bd5234b0aaa60ba523cb74655725193c",0.0104357794888283,"p",2628.14483548032,1,0,"1_vs_0",0.0175242334812399,"genus"
"5c4aa2f928074b41e5ff879fef2725a9",8.95563773990291e-53,"p",1482.57597095351,1,0,"1_vs_0",4.08744491718645e-52,"genus"
"3ddfd610ba7d8993cc30a344773703d1",0.960072221714899,"p",1343.99500033645,1,0,"1_vs_0",0.997393233314635,"genus"
"34f0b5e1007c9b731a91e5a18996ea8e",0.0342198388131971,"p",1784.11696330002,1,0,"1_vs_0",0.0534309763925359,"genus"
"b33cef2fe90950ad71ed274121fa0c8b",3.90696446008665e-27,"p",1411.65768358005,1,0,"1_vs_0",1.39087934779085e-26,"genus"
"f50d1d42a442560b41612992aa2a07c3",6.24793100507362e-65,"p",1504.78828931889,1,0,"1_vs_0",3.08925477473084e-64,"genus"
"45050f65705f9d591f880d88fdfdaa2e",1.85071038074723e-09,"p",1819.23475838813,1,0,"1_vs_0",4.63980912356348e-09,"genus"
"2ecb4ea1f47f61e2f82f4ce0d718a257",1.48711125510519e-11,"p",1779.53233796544,1,0,"1_vs_0",3.89273240306946e-11,"genus"
"408893a22a3f54bd0da660431a332f7f",0.00101073953419959,"p",1708.27947367951,1,0,"1_vs_0",0.00189380670618449,"genus"
"8626a92425f2b87edc2e02fadf49ad9f",3.04308054951479e-19,"p",900.587070813898,1,0,"1_vs_0",9.84851523297513e-19,"genus"
"afacc57e943cd34275c6e33227c2e423",0.0517267720686816,"p",1790.02910810521,1,0,"1_vs_0",0.0791041132202057,"genus"
"4f245f85bcf34ca7adf293a11cf8bbf4",8.10680844905765e-07,"p",1122.1362354508,1,0,"1_vs_0",1.80376487991533e-06,"genus"
"965460e3768061c94179d8d9abaa8939",6.55149636918726e-23,"p",779.543158222363,1,0,"1_vs_0",2.20031387493459e-22,"genus"
"db9648e6ade64e0be703e995a1abf24c",3.23453743168223e-22,"p",772.966762717728,1,0,"1_vs_0",1.06619937562859e-21,"genus"
"960803866dcdea209bfa274411944c77",2.00072790242466e-15,"p",1477.91479919918,1,0,"1_vs_0",5.83818961691129e-15,"genus"
"dc89aafee60c460ed28bd6ea49052451",3.86061093526994e-07,"p",1112.58008141207,1,0,"1_vs_0",8.81011213433398e-07,"genus"
"66d5d32176dc67ca5d677fff17c9958b",1.85892515003933e-26,"p",1484.62700742547,1,0,"1_vs_0",6.48801326876473e-26,"genus"
"1b1c107d2ac2391f5f32161136c894b2",0.128960163908783,"p",1687.50939744001,1,0,"1_vs_0",0.189709993188128,"genus"
"f0b52d5da8a6dfae05a2c3125f970408",2.2321440245021e-06,"p",1545.11210081003,1,0,"1_vs_0",4.73001948049255e-06,"genus"
"76297c6b3fe1f7ef6a00d4bd148b59ed",0.294789604967116,"p",1084.92002012094,1,0,"1_vs_0",0.418454696146033,"genus"
"73e473fb822e93e32df323ac3a655d92",0.0309372759962382,"p",1187.19532583826,1,0,"1_vs_0",0.0487330542241628,"genus"
"ebccf734429de2844d7c13aa27b3e9b6",0.000267324014092391,"p",717.011586327294,1,0,"1_vs_0",0.00051721385335267,"genus"
"3cbcb339fa3d4786e17ffb756634cd88",2.17626571673361e-29,"p",644.206278721447,1,0,"1_vs_0",8.0703186995538e-29,"genus"
"d0fae733b7242a6aa4da9bb089246416",0.000107789947526083,"p",949.378756139981,1,0,"1_vs_0",0.000215579895052166,"genus"
"9e3cc043a47dfc8bea88c0ac7d6b2dea",0.120764409834519,"p",879.389892466312,1,0,"1_vs_0",0.179133874587869,"genus"
"5de4560b4b6097b8da2ae549bfa6e730",1.78011856108076e-28,"p",1174.09764223327,1,0,"1_vs_0",6.46655314025257e-28,"genus"
"0eef6eb961c49a6773c4b297112815c4",1.90804611317745e-18,"p",921.096025239272,1,0,"1_vs_0",6.06486085974261e-18,"genus"
"e2629a5b98acd1c5596c35d7a175537f",0.164483358873663,"p",1086.03549717401,1,0,"1_vs_0",0.23998391704518,"genus"
"1bf808407b9134d8ee1ae40c4124f683",8.52739456922793e-06,"p",658.511113917232,1,0,"1_vs_0",1.76497236432857e-05,"genus"
"0f1a501a6ee4fb4faec5bb3a572e9edb",0.000136391488255166,"p",691.277140858129,1,0,"1_vs_0",0.000266787746257358,"genus"
"6181e9cc4368bf49779834fd77cfa80f",7.20396767017256e-18,"p",591.905614026052,1,0,"1_vs_0",2.21087283670813e-17,"genus"
"af72cae74eee15b3ccef59a35b92c1a9",0.975562903712271,"p",524.11658947017,1,0,"1_vs_0",0.997393233314635,"genus"
"9b87e2b30bcefeb582d375b7af783e9d",2.84050854748777e-18,"p",879.134997030633,1,0,"1_vs_0",8.87036002548812e-18,"genus"
