"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0017",45725,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0022",42928,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0027",41647,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0014",34695,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0023",34436,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0026",32813,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0025",31284,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0013",23812,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0015",22315,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0001",21241,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0030",17797,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0018",17473,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0028",16631,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0016",15557,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0025",14526,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0001",13872,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0011",13123,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0006",13067,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0004",12561,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0009",11278,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0019",11178,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0012",10702,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0026",10328,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0016",10047,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0010",9847,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0023",9014,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0024",8915,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0020",8871,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0008",8841,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0021",7990,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0024",7883,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0013",7657,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0010",7484,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0029",7304,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0014",7200,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0016",7163,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0027",6783,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0009",6387,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0011",6234,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0015",6038,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0005",5913,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0022",5699,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0021",5565,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0029",5336,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0019",5091,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0028",5071,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0005",4945,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"ce4aa74df6165cfd3b5067fe005f94c4_genus","S00PP-0022",4750,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0020",4681,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0018",4636,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0012",4238,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0012",4134,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0017",3693,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0010",3629,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0007",3535,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"e31f9ce930e813ad3cc0390b0f8b5a9c_genus","S00PP-0028",3324,"teria","teroidota","teroidia","teroidales","nerellaceae","abacteroides"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0011",3308,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"9aa3baf0e1ca0d9f7c5b119e42c52153_genus","S00PP-0002",2990,"teria","pilobacterota","pylobacteria","pylobacterales","icobacteraceae","icobacter"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0030",2788,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0015",2631,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0022",2599,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0003",2578,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"30d87e91be256a2b5f96b636ef04cda2_genus","S00PP-0013",2194,"teria","micutes","stridia","tostreptococcales-Tissierellales","tostreptococcaceae","boutsia"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0005",2106,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0002",2047,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0025",2015,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"3c74744397053ce981bef9ea5e0bc926_genus","S00PP-0020",1944,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"e31f9ce930e813ad3cc0390b0f8b5a9c_genus","S00PP-0027",1899,"teria","teroidota","teroidia","teroidales","nerellaceae","abacteroides"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0029",1869,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0004",1865,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0002",1818,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"3c74744397053ce981bef9ea5e0bc926_genus","S00PP-0009",1786,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"ce4aa74df6165cfd3b5067fe005f94c4_genus","S00PP-0016",1777,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"1b039cbaab99f38bec0461ac24d07eec_genus","S00PP-0007",1746,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"ce4aa74df6165cfd3b5067fe005f94c4_genus","S00PP-0020",1725,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0016",1650,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"9a1ac984fe0ec22a65cce00e01f43aa4_genus","S00PP-0007",1618,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0030",1614,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0014",1607,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"012ef658933550c9ae6719455ba247de_genus","S00PP-0004",1547,"teria","micutes","stridia","illospirales","yricicoccaceae","yricicoccus"
"e31f9ce930e813ad3cc0390b0f8b5a9c_genus","S00PP-0006",1518,"teria","teroidota","teroidia","teroidales","nerellaceae","abacteroides"
"ce4aa74df6165cfd3b5067fe005f94c4_genus","S00PP-0026",1474,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
