"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0008",21486,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0019",20577,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0007",15669,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0016",15557,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0025",14526,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0001",13872,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0011",13123,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0006",11541,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0012",10702,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0026",10328,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0010",9847,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0023",9014,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0020",8871,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0008",8841,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0009",8464,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0021",7990,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0024",7883,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0013",7657,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"3ab61ffb86b753b43f425d630a87e7a1_genus","S00PP-0007",7479,"teria","nobacteria","pirivibrionia","tranaerophilales","tranaerophilales","tranaerophilales"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0014",7200,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0016",7163,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0027",6783,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0021",6729,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0020",6700,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0009",6387,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0015",6038,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0030",5811,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0022",5699,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0023",5576,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0029",5336,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0015",5116,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0019",5091,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0028",5071,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0005",4945,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0024",4814,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ce4aa74df6165cfd3b5067fe005f94c4_genus","S00PP-0022",4750,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0014",4680,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ef26904830b91caa86a460c041c77fd4_genus","S00PP-0018",4636,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0028",4264,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0012",4134,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0013",3773,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0017",3693,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0010",3629,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0007",3535,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"3ab61ffb86b753b43f425d630a87e7a1_genus","S00PP-0001",3419,"teria","nobacteria","pirivibrionia","tranaerophilales","tranaerophilales","tranaerophilales"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0011",3308,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0017",2994,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0030",2788,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0015",2631,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0022",2599,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0003",2578,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0018",2439,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0027",2302,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"30d87e91be256a2b5f96b636ef04cda2_genus","S00PP-0013",2194,"teria","micutes","stridia","tostreptococcales-Tissierellales","tostreptococcaceae","boutsia"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0012",2132,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"ef868a9f9181104c630bce11a89cffee_genus","S00PP-0005",2106,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"8a76ae8f05f80339a90912b26ea25f46_genus","S00PP-0025",2015,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"3c74744397053ce981bef9ea5e0bc926_genus","S00PP-0020",1944,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"31838e38978812ddc9e0a8a7d40cc0c2_genus","S00PP-0029",1869,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0004",1865,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0002",1818,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"3c74744397053ce981bef9ea5e0bc926_genus","S00PP-0009",1786,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"ce4aa74df6165cfd3b5067fe005f94c4_genus","S00PP-0016",1777,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"3ab61ffb86b753b43f425d630a87e7a1_genus","S00PP-0021",1734,"teria","nobacteria","pirivibrionia","tranaerophilales","tranaerophilales","tranaerophilales"
"ce4aa74df6165cfd3b5067fe005f94c4_genus","S00PP-0020",1725,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"3ab61ffb86b753b43f425d630a87e7a1_genus","S00PP-0018",1701,"teria","nobacteria","pirivibrionia","tranaerophilales","tranaerophilales","tranaerophilales"
"ebdd31c2ddfb8569d611a614383e615c_genus","S00PP-0016",1650,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0025",1632,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"6a2635af5e61db824708f2a95508a4b5_genus","S00PP-0016",1625,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
