"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"ae71c2e538a51e571a12a1d35ecb3975",8.82681436038392e-18,"zinb",37.3657633992278,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",7.94413292434553e-17,"phylum",1,"ae71c2e538a51e571a12a1d35ecb3975phylum"
"ae71c2e538a51e571a12a1d35ecb3975",8.88167634960117e-18,"zinb",37.366665207991,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",2.22041908740029e-16,"order",2,"ae71c2e538a51e571a12a1d35ecb3975order"
"ae71c2e538a51e571a12a1d35ecb3975",9.19439576906721e-18,"zinb",37.3698914655493,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",7.99912431908847e-16,"genus",3,"ae71c2e538a51e571a12a1d35ecb3975genus"
"965460e3768061c94179d8d9abaa8939",5.84936878937288e-16,"zinb",32.5119185506383,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",2.5444754233772e-14,"genus",4,"965460e3768061c94179d8d9abaa8939genus"
"3c74744397053ce981bef9ea5e0bc926",2.36589055049995e-11,"zinb",105.906015505978,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",6.86108259644986e-10,"genus",5,"3c74744397053ce981bef9ea5e0bc926genus"
"4f75b2e18a41280d3a51b71dfd217114",2.0950582393716e-09,"zinb",30.7819206183182,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",5.02813977449184e-08,"order",1,"4f75b2e18a41280d3a51b71dfd217114order"
"4f75b2e18a41280d3a51b71dfd217114",2.3195451899786e-09,"zinb",30.7864144444892,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",1.60048618108524e-07,"genus",2,"4f75b2e18a41280d3a51b71dfd217114genus"
"6b042b48e48575384e883f0e55f1d66d",6.95246172400263e-08,"zinb",58.269362729243,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",2.38614729504463e-06,"genus",3,"6b042b48e48575384e883f0e55f1d66dgenus"
"7d5a3fd493eb86dd63d1ea6f4d01575a",1.03745534567158e-07,"zinb",31.5396068148836,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",2.38614729504463e-06,"genus",4,"7d5a3fd493eb86dd63d1ea6f4d01575agenus"
"5de4560b4b6097b8da2ae549bfa6e730",1.41134897132771e-07,"zinb",30.9697125337582,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",2.43457697554031e-06,"genus",5,"5de4560b4b6097b8da2ae549bfa6e730genus"
"69b7bf31c6bdd293fa911662b38b206a",1.55832357190136e-42,"zinb",40.8468728084688,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",1.37132474327319e-40,"genus",1,"69b7bf31c6bdd293fa911662b38b206agenus"
"3cbcb339fa3d4786e17ffb756634cd88",3.78749456925267e-15,"zinb",31.1738770319145,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",1.66649761047117e-13,"genus",2,"3cbcb339fa3d4786e17ffb756634cd88genus"
"ae71c2e538a51e571a12a1d35ecb3975",3.17639462785872e-10,"zinb",32.822131397355,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",2.2234762395011e-09,"phylum",3,"ae71c2e538a51e571a12a1d35ecb3975phylum"
"6b042b48e48575384e883f0e55f1d66d",8.81601627251818e-11,"zinb",70.1722859840246,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",2.58603143993867e-09,"genus",4,"6b042b48e48575384e883f0e55f1d66dgenus"
"ae71c2e538a51e571a12a1d35ecb3975",3.18093147373803e-10,"zinb",32.8221292617029,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",6.99804924222366e-09,"genus",5,"ae71c2e538a51e571a12a1d35ecb3975genus"
"d7bcd2d5d73140edaa58294326db404e",1.00457371582934e-23,"zinb",33.3429873972766,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",8.13704709821769e-22,"genus",1,"d7bcd2d5d73140edaa58294326db404egenus"
"1bf808407b9134d8ee1ae40c4124f683",8.46815360913668e-15,"zinb",32.1734011236784,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",3.42960221170036e-13,"genus",2,"1bf808407b9134d8ee1ae40c4124f683genus"
"f0b52d5da8a6dfae05a2c3125f970408",6.61033089795281e-09,"zinb",87.2867348934736,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",1.71868603346773e-07,"order",3,"f0b52d5da8a6dfae05a2c3125f970408order"
"ef26904830b91caa86a460c041c77fd4",3.38464434768219e-08,"zinb",149.682219625987,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",3.04617991291397e-07,"phylum",4,"ef26904830b91caa86a460c041c77fd4phylum"
"032fc3717d8136fccddb555b0aa201a3",5.97324629067009e-06,"zinb",93.5196244636572,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",7.76522017787112e-05,"order",5,"032fc3717d8136fccddb555b0aa201a3order"
"ae71c2e538a51e571a12a1d35ecb3975",3.270409269758e-16,"zinb",37.4027323806528,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",2.6163274158064e-15,"phylum",1,"ae71c2e538a51e571a12a1d35ecb3975phylum"
"d4055296c3bb8a48a9b37dc101c71f01",9.22121739554358e-17,"zinb",40.7758830296273,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",6.36264000292507e-15,"genus",2,"d4055296c3bb8a48a9b37dc101c71f01genus"
"ae71c2e538a51e571a12a1d35ecb3975",3.29003074316942e-16,"zinb",37.4036473767462,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",7.23806763497273e-15,"order",3,"ae71c2e538a51e571a12a1d35ecb3975order"
"ae71c2e538a51e571a12a1d35ecb3975",3.11179660521853e-16,"zinb",37.4068323595756,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",1.07356982880039e-14,"genus",4,"ae71c2e538a51e571a12a1d35ecb3975genus"
"0f1a501a6ee4fb4faec5bb3a572e9edb",4.42644591454105e-09,"zinb",34.9188084016299,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",1.01808256034444e-07,"genus",5,"0f1a501a6ee4fb4faec5bb3a572e9edbgenus"
"69b7bf31c6bdd293fa911662b38b206a",2.738459688033e-34,"zinb",38.413913352102,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",2.4646137192297e-32,"genus",1,"69b7bf31c6bdd293fa911662b38b206agenus"
"50dd335864e0cbe285c3b961b86ed629",6.96264570020771e-28,"zinb",33.9081646146193,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",3.13319056509347e-26,"genus",2,"50dd335864e0cbe285c3b961b86ed629genus"
"6181e9cc4368bf49779834fd77cfa80f",9.86096424557324e-20,"zinb",44.5658452629502,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",2.95828927367197e-18,"genus",3,"6181e9cc4368bf49779834fd77cfa80fgenus"
"965460e3768061c94179d8d9abaa8939",5.17899241420947e-13,"zinb",32.2800992122664,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",1.16527329319713e-11,"genus",4,"965460e3768061c94179d8d9abaa8939genus"
"3cbcb339fa3d4786e17ffb756634cd88",6.79324202370505e-08,"zinb",44.6560147406161,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",1.22278356426691e-06,"genus",5,"3cbcb339fa3d4786e17ffb756634cd88genus"
"db9648e6ade64e0be703e995a1abf24c",1.02815196428315e-16,"zinb",32.2800912448876,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",8.63647649997844e-15,"genus",1,"db9648e6ade64e0be703e995a1abf24cgenus"
"dc89aafee60c460ed28bd6ea49052451",1.33932676024292e-14,"zinb",48.0572235740732,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",5.62517239302025e-13,"genus",2,"dc89aafee60c460ed28bd6ea49052451genus"
"50dd335864e0cbe285c3b961b86ed629",2.95166362409337e-09,"zinb",37.0011833772071,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",8.26465814746143e-08,"genus",3,"50dd335864e0cbe285c3b961b86ed629genus"
"1bf808407b9134d8ee1ae40c4124f683",5.36589723261089e-08,"zinb",32.020249787374,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",1.12683841884829e-06,"genus",4,"1bf808407b9134d8ee1ae40c4124f683genus"
"0f1a501a6ee4fb4faec5bb3a572e9edb",7.99292738323452e-07,"zinb",41.6353665779294,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",1.3428118003834e-05,"genus",5,"0f1a501a6ee4fb4faec5bb3a572e9edbgenus"
"ae71c2e538a51e571a12a1d35ecb3975",1.86564074597878e-08,"zinb",32.8590700778262,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",1.30594852218515e-07,"phylum",1,"ae71c2e538a51e571a12a1d35ecb3975phylum"
"ae71c2e538a51e571a12a1d35ecb3975",1.86564074597878e-08,"zinb",32.8590700778262,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",4.10440964115333e-07,"order",2,"ae71c2e538a51e571a12a1d35ecb3975order"
"ae71c2e538a51e571a12a1d35ecb3975",1.69504421487153e-08,"zinb",32.859127818453,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",1.23738227685621e-06,"genus",3,"ae71c2e538a51e571a12a1d35ecb3975genus"
"91d07d7e704974ed88096c0e74a6ba1e",1.05421594735309e-07,"zinb",55.1347241762276,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",3.84788820783877e-06,"genus",4,"91d07d7e704974ed88096c0e74a6ba1egenus"
"0f1a501a6ee4fb4faec5bb3a572e9edb",4.51290694393451e-06,"zinb",29.9897324044358,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0.000109814068969073,"genus",5,"0f1a501a6ee4fb4faec5bb3a572e9edbgenus"
"1bf808407b9134d8ee1ae40c4124f683",9.45562045376371e-31,"zinb",45.1814524913473,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",6.05159709040878e-29,"genus",1,"1bf808407b9134d8ee1ae40c4124f683genus"
"9a1ac984fe0ec22a65cce00e01f43aa4",1.48738320930698e-14,"zinb",143.786399708431,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",3.17308417985488e-13,"genus",2,"9a1ac984fe0ec22a65cce00e01f43aa4genus"
"bc0aa157d29d6604c19bf4e18b37bc88",1.02285992714522e-14,"zinb",43.349520226506,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",3.17308417985488e-13,"genus",3,"bc0aa157d29d6604c19bf4e18b37bc88genus"
"c1f83bd0eac0f5b9b6bb409c55d831e0",2.20698601610209e-14,"zinb",143.415823110708,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",3.53117762576335e-13,"genus",4,"c1f83bd0eac0f5b9b6bb409c55d831e0genus"
"c1f83bd0eac0f5b9b6bb409c55d831e0",1.6797863267815e-09,"zinb",149.147653236887,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",4.03148718427559e-08,"order",5,"c1f83bd0eac0f5b9b6bb409c55d831e0order"
"50dd335864e0cbe285c3b961b86ed629",1.04072384732507e-43,"zinb",38.7126538402142,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",9.36651462592564e-42,"genus",1,"50dd335864e0cbe285c3b961b86ed629genus"
"d7bcd2d5d73140edaa58294326db404e",7.60575915302405e-23,"zinb",33.319606679534,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",3.42259161886082e-21,"genus",2,"d7bcd2d5d73140edaa58294326db404egenus"
"3cbcb339fa3d4786e17ffb756634cd88",1.53751527718256e-19,"zinb",50.1992026567399,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",4.61254583154767e-18,"genus",3,"3cbcb339fa3d4786e17ffb756634cd88genus"
"dc89aafee60c460ed28bd6ea49052451",9.06771148749073e-17,"zinb",32.5463190170471,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",2.04023508468542e-15,"genus",4,"dc89aafee60c460ed28bd6ea49052451genus"
"1bf808407b9134d8ee1ae40c4124f683",3.71392478754476e-10,"zinb",31.3340457948486,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",6.68506461758057e-09,"genus",5,"1bf808407b9134d8ee1ae40c4124f683genus"
