"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"31838e38978812ddc9e0a8a7d40cc0c2",0,"zip",19097.8294064696,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"genus",1,"31838e38978812ddc9e0a8a7d40cc0c2genus"
"ce4aa74df6165cfd3b5067fe005f94c4",0,"zip",11813.7486338801,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"genus",2,"ce4aa74df6165cfd3b5067fe005f94c4genus"
"ef26904830b91caa86a460c041c77fd4",5.83578909897281e-306,"zip",53431.5349652554,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",5.25221018907553e-305,"phylum",3,"ef26904830b91caa86a460c041c77fd4phylum"
"3c74744397053ce981bef9ea5e0bc926",5.8664378157674e-283,"zip",1104.66167104463,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",1.70126696657255e-281,"genus",4,"3c74744397053ce981bef9ea5e0bc926genus"
"8a76ae8f05f80339a90912b26ea25f46",2.18182080691087e-272,"zip",38471.4784980861,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",4.74546025503113e-271,"genus",5,"8a76ae8f05f80339a90912b26ea25f46genus"
"30d87e91be256a2b5f96b636ef04cda2",0,"zip",3890.41215267555,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",0,"genus",1,"30d87e91be256a2b5f96b636ef04cda2genus"
"ef26904830b91caa86a460c041c77fd4",2.44842934625954e-291,"zip",65807.2789730512,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",5.87623043102289e-290,"order",2,"ef26904830b91caa86a460c041c77fd4order"
"ef26904830b91caa86a460c041c77fd4",1.37569231310848e-281,"zip",66493.8029836212,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",4.74613848022426e-280,"genus",3,"ef26904830b91caa86a460c041c77fd4genus"
"3ab61ffb86b753b43f425d630a87e7a1",6.91573355344878e-241,"zip",3976.90451132498,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",6.2241601981039e-240,"phylum",4,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"3ab61ffb86b753b43f425d630a87e7a1",8.36699224244135e-241,"zip",3976.5799755289,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",1.00403906909296e-239,"order",5,"3ab61ffb86b753b43f425d630a87e7a1order"
"183d7a6a20b38695342d58bce245f3be",0,"zip",3344.41513080928,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"phylum",1,"183d7a6a20b38695342d58bce245f3bephylum"
"ef26904830b91caa86a460c041c77fd4",0,"zip",50028.4012618433,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"order",2,"ef26904830b91caa86a460c041c77fd4order"
"183d7a6a20b38695342d58bce245f3be",0,"zip",3344.66032169768,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"order",3,"183d7a6a20b38695342d58bce245f3beorder"
"ef26904830b91caa86a460c041c77fd4",0,"zip",50611.8869804777,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"genus",4,"ef26904830b91caa86a460c041c77fd4genus"
"ef868a9f9181104c630bce11a89cffee",0,"zip",34199.9604956714,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"genus",5,"ef868a9f9181104c630bce11a89cffeegenus"
"ef26904830b91caa86a460c041c77fd4",0,"zip",53433.5098401962,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"phylum",1,"ef26904830b91caa86a460c041c77fd4phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",19959.9413434433,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"phylum",2,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",19959.7138374058,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"order",3,"3ab61ffb86b753b43f425d630a87e7a1order"
"ef868a9f9181104c630bce11a89cffee",0,"zip",37169.7272720932,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"genus",4,"ef868a9f9181104c630bce11a89cffeegenus"
"8a76ae8f05f80339a90912b26ea25f46",0,"zip",18915.274418845,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"genus",5,"8a76ae8f05f80339a90912b26ea25f46genus"
"ce4aa74df6165cfd3b5067fe005f94c4",0,"zip",8411.15564875695,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",0,"genus",1,"ce4aa74df6165cfd3b5067fe005f94c4genus"
"ef26904830b91caa86a460c041c77fd4",1.86487899686366e-275,"zip",17566.567406638,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",1.49190319749093e-274,"phylum",2,"ef26904830b91caa86a460c041c77fd4phylum"
"3ab61ffb86b753b43f425d630a87e7a1",8.71938095777082e-255,"zip",4414.04538205666,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",3.48775238310833e-254,"phylum",3,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"3ab61ffb86b753b43f425d630a87e7a1",1.01691429696812e-254,"zip",4413.45219095304,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",2.23721145332987e-253,"order",4,"3ab61ffb86b753b43f425d630a87e7a1order"
"3ab61ffb86b753b43f425d630a87e7a1",1.70482481203088e-251,"zip",4394.99438804517,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",5.88164560150653e-250,"genus",5,"3ab61ffb86b753b43f425d630a87e7a1genus"
"6a2635af5e61db824708f2a95508a4b5",0,"zip",57944.143927481,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"genus",1,"6a2635af5e61db824708f2a95508a4b5genus"
"ef868a9f9181104c630bce11a89cffee",0,"zip",42613.4038141964,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"genus",2,"ef868a9f9181104c630bce11a89cffeegenus"
"8a76ae8f05f80339a90912b26ea25f46",0,"zip",41464.057602365,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"genus",3,"8a76ae8f05f80339a90912b26ea25f46genus"
"ebdd31c2ddfb8569d611a614383e615c",0,"zip",8635.85241353195,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"genus",4,"ebdd31c2ddfb8569d611a614383e615cgenus"
"183d7a6a20b38695342d58bce245f3be",4.21504900880158e-227,"zip",3113.24799343959,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",2.95053430616111e-226,"phylum",5,"183d7a6a20b38695342d58bce245f3bephylum"
"ef868a9f9181104c630bce11a89cffee",0,"zip",45583.1705906183,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",0,"genus",1,"ef868a9f9181104c630bce11a89cffeegenus"
"ce4aa74df6165cfd3b5067fe005f94c4",0,"zip",9066.59638230783,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",0,"genus",2,"ce4aa74df6165cfd3b5067fe005f94c4genus"
"31838e38978812ddc9e0a8a7d40cc0c2",4.80223903141843e-166,"zip",7417.29248771481,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",1.36063439223522e-164,"genus",3,"31838e38978812ddc9e0a8a7d40cc0c2genus"
"ebdd31c2ddfb8569d611a614383e615c",2.46428737683061e-147,"zip",2230.88939561546,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",5.23661067576504e-146,"genus",4,"ebdd31c2ddfb8569d611a614383e615cgenus"
"9a1ac984fe0ec22a65cce00e01f43aa4",4.5529757262846e-110,"zip",4082.82122287341,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",7.74005873468381e-109,"genus",5,"9a1ac984fe0ec22a65cce00e01f43aa4genus"
"ef26904830b91caa86a460c041c77fd4",0,"zip",22220.6695335126,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"phylum",1,"ef26904830b91caa86a460c041c77fd4phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",7124.03171923679,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"phylum",2,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"ef26904830b91caa86a460c041c77fd4",0,"zip",19583.6831706303,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"order",3,"ef26904830b91caa86a460c041c77fd4order"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",7123.93468947819,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"order",4,"3ab61ffb86b753b43f425d630a87e7a1order"
"ef868a9f9181104c630bce11a89cffee",0,"zip",49452.704435611,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"genus",5,"ef868a9f9181104c630bce11a89cffeegenus"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",16993.7018827339,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"phylum",1,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"ef26904830b91caa86a460c041c77fd4",0,"zip",17568.5422815201,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"phylum",2,"ef26904830b91caa86a460c041c77fd4phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",16993.6048529748,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"order",3,"3ab61ffb86b753b43f425d630a87e7a1order"
"ef868a9f9181104c630bce11a89cffee",0,"zip",52422.4712120333,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"genus",4,"ef868a9f9181104c630bce11a89cffeegenus"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",16982.9662809767,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"genus",5,"3ab61ffb86b753b43f425d630a87e7a1genus"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",23107.06855137,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"phylum",1,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"zip",23107.06855137,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"order",2,"3ab61ffb86b753b43f425d630a87e7a1order"
"6a2635af5e61db824708f2a95508a4b5",0,"zip",65482.0569587728,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"genus",3,"6a2635af5e61db824708f2a95508a4b5genus"
