"ID","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0017",79589,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0022",67594,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0027",62578,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0025",60746,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0023",58314,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0014",57811,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0026",57209,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0006",55727,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0001",52107,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0013",51366,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0019",49215,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0015",47774,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0030",46410,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0008",46197,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0003",46068,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0002",43724,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0028",43152,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0004",42187,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0018",41577,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0009",38879,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0020",36907,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0016",34301,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0011",33483,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0024",33218,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0021",31746,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0029",31689,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0007",31152,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0010",30878,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0012",29371,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_phylum","S00PP-0005",28606,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0017",79589,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0022",67591,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0027",62578,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0025",60746,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0023",58309,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0014",57811,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0026",57209,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0006",55727,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0001",52107,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0013",51366,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0019",49215,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0015",47774,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0030",46410,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0008",46197,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0003",46068,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0002",43724,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0028",43152,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0004",42187,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0018",41577,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0009",38879,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec_order","S00PP-0020",36907,"teria","teroidota","teroidia","teroidales",NA,NA
