"OTU","g1vsg2","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"012ef658933550c9ae6719455ba247de","SHAM_STD_vs_SHAM_EE","genus",3,"teria","micutes","stridia","illospirales","yricicoccaceae","yricicoccus"
"1a34ed6eb9566e4a4c90989cee8056f8","TBI_STD_vs_TBI_EE_SIN_COH","genus",3,"teria","micutes","stridia","illospirales","illospiraceae","vonifractor"
"1b039cbaab99f38bec0461ac24d07eec","TBI_STD_vs_SHAM_STD","genus",2,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_SIN_COH_vs_SHAM_STD","genus",2,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"30d87e91be256a2b5f96b636ef04cda2","TBI_STD_vs_TBI_EE_COH","genus",2,"teria","micutes","stridia","tostreptococcales-Tissierellales","tostreptococcaceae","boutsia"
"30d87e91be256a2b5f96b636ef04cda2","TBI_STD_vs_SHAM_EE","genus",4,"teria","micutes","stridia","tostreptococcales-Tissierellales","tostreptococcaceae","boutsia"
"30d87e91be256a2b5f96b636ef04cda2","TBI_EE_COH_vs_SHAM_STD","genus",4,"teria","micutes","stridia","tostreptococcales-Tissierellales","tostreptococcaceae","boutsia"
"30d87e91be256a2b5f96b636ef04cda2","SHAM_STD_vs_SHAM_EE","genus",5,"teria","micutes","stridia","tostreptococcales-Tissierellales","tostreptococcaceae","boutsia"
"31838e38978812ddc9e0a8a7d40cc0c2","TBI_STD_vs_SHAM_STD","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"31838e38978812ddc9e0a8a7d40cc0c2","TBI_EE_SIN_COH_vs_SHAM_STD","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"3c74744397053ce981bef9ea5e0bc926","TBI_STD_vs_TBI_EE_COH","genus",1,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"3c74744397053ce981bef9ea5e0bc926","TBI_STD_vs_SHAM_EE","genus",3,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"3c74744397053ce981bef9ea5e0bc926","TBI_EE_COH_vs_SHAM_STD","genus",2,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"639672056ddfd18a689d67ba219c3949","SHAM_STD_vs_SHAM_EE","genus",4,"teria","micutes","stridia","illospirales","illospiraceae","-005"
"684f3fce4d1d41f68d47d11786f8f0b1","TBI_STD_vs_TBI_EE_COH","genus",4,"teria","micutes","stridia","hnospirales","hnospiraceae","ultured"
"684f3fce4d1d41f68d47d11786f8f0b1","TBI_STD_vs_TBI_EE_SIN_COH","genus",1,"teria","micutes","stridia","hnospirales","hnospiraceae","ultured"
"684f3fce4d1d41f68d47d11786f8f0b1","TBI_STD_vs_SHAM_EE","genus",5,"teria","micutes","stridia","hnospirales","hnospiraceae","ultured"
"6b042b48e48575384e883f0e55f1d66d","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",5,"teria","micutes","stridia","hnospirales","hnospiraceae","utia"
"8a76ae8f05f80339a90912b26ea25f46","TBI_STD_vs_SHAM_EE","genus",2,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"97e29780fcdca010751c33e140e2d29c","TBI_STD_vs_TBI_EE_COH","genus",5,"teria","micutes","stridia","illospirales","illospiraceae","illibacter"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_STD_vs_TBI_EE_COH","genus",3,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_STD_vs_TBI_EE_SIN_COH","genus",2,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",2,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_EE_COH_vs_SHAM_STD","genus",5,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_EE_COH_vs_SHAM_EE","genus",2,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_EE_SIN_COH_vs_SHAM_EE","genus",3,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"9aa3baf0e1ca0d9f7c5b119e42c52153","TBI_STD_vs_TBI_EE_SIN_COH","phylum",5,"teria","pilobacterota",NA,NA,NA,NA
"9aa3baf0e1ca0d9f7c5b119e42c52153","TBI_STD_vs_TBI_EE_SIN_COH","genus",4,"teria","pilobacterota","pylobacteria","pylobacterales","icobacteraceae","icobacter"
"b2ac8b983a4ad1dd12b86b4b4cee89eb","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",3,"teria","micutes","stridia","illospirales","yricicoccaceae","-008"
"b2ac8b983a4ad1dd12b86b4b4cee89eb","TBI_EE_COH_vs_SHAM_STD","genus",3,"teria","micutes","stridia","illospirales","yricicoccaceae","-008"
"ce4aa74df6165cfd3b5067fe005f94c4","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",1,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","TBI_EE_COH_vs_SHAM_STD","genus",1,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","SHAM_STD_vs_SHAM_EE","genus",2,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"d28313e755b0d735a3f5db93b60345b9","TBI_EE_COH_vs_TBI_EE_SIN_COH","order",4,"teria","micutes","stridia","stridiales",NA,NA
"d28313e755b0d735a3f5db93b60345b9","TBI_EE_COH_vs_SHAM_EE","order",5,"teria","micutes","stridia","stridiales",NA,NA
"d28313e755b0d735a3f5db93b60345b9","TBI_EE_COH_vs_SHAM_EE","genus",4,"teria","micutes","stridia","stridiales","stridiaceae","stridium_sensu_stricto_1"
"e31f9ce930e813ad3cc0390b0f8b5a9c","TBI_EE_SIN_COH_vs_SHAM_STD","genus",4,"teria","teroidota","teroidia","teroidales","nerellaceae","abacteroides"
"ebdd31c2ddfb8569d611a614383e615c","TBI_EE_COH_vs_SHAM_EE","genus",3,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
