"OTU","g1vsg2","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"012ef658933550c9ae6719455ba247de","TBI_STD_vs_TBI_EE_COH","order",4,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de","TBI_EE_COH_vs_TBI_EE_SIN_COH","order",5,"teria","micutes","stridia","illospirales",NA,NA
"012ef658933550c9ae6719455ba247de","SHAM_STD_vs_SHAM_EE","order",5,"teria","micutes","stridia","illospirales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_STD_vs_SHAM_STD","phylum",1,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_STD_vs_SHAM_EE","phylum",1,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_COH_vs_SHAM_STD","phylum",1,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_COH_vs_SHAM_EE","phylum",1,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_SIN_COH_vs_SHAM_STD","phylum",1,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_SIN_COH_vs_SHAM_EE","phylum",1,"teria","teroidota",NA,NA,NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_STD_vs_SHAM_STD","order",4,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_STD_vs_SHAM_EE","order",5,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_COH_vs_SHAM_STD","order",3,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_COH_vs_SHAM_EE","order",4,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_SIN_COH_vs_SHAM_STD","order",5,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_EE_SIN_COH_vs_SHAM_EE","order",5,"teria","teroidota","teroidia","teroidales",NA,NA
"1b039cbaab99f38bec0461ac24d07eec","TBI_STD_vs_TBI_EE_COH","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_NK3B31_group"
"2bf1dfcdeca6629135f4014f138344ae","TBI_STD_vs_TBI_EE_COH","phylum",2,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_STD_vs_SHAM_STD","phylum",2,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_STD_vs_SHAM_EE","phylum",3,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_COH_vs_TBI_EE_SIN_COH","phylum",1,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_COH_vs_SHAM_STD","phylum",2,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_COH_vs_SHAM_EE","phylum",2,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_SIN_COH_vs_SHAM_STD","phylum",2,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_SIN_COH_vs_SHAM_EE","phylum",2,"teria","micutes",NA,NA,NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_STD_vs_TBI_EE_COH","order",3,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_COH_vs_TBI_EE_SIN_COH","order",4,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_COH_vs_SHAM_STD","order",5,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae","TBI_EE_COH_vs_SHAM_EE","order",5,"teria","micutes","illi","tobacillales",NA,NA
"2bf1dfcdeca6629135f4014f138344ae","SHAM_STD_vs_SHAM_EE","order",2,"teria","micutes","illi","tobacillales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_STD_vs_SHAM_EE","phylum",4,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_COH_vs_TBI_EE_SIN_COH","phylum",3,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_COH_vs_SHAM_EE","phylum",3,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_SIN_COH_vs_SHAM_STD","phylum",4,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_SIN_COH_vs_SHAM_EE","phylum",3,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","SHAM_STD_vs_SHAM_EE","phylum",1,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","SHAM_STD_vs_SHAM_EE","order",4,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"7ec2e0de3e22b59c14e75484480b550c","TBI_STD_vs_TBI_EE_SIN_COH","genus",5,"teria","teroidota","teroidia","teroidales","ibaculaceae","ibaculaceae"
"8bd14caf6a3b2664d15ef6c5d7a23eef","TBI_STD_vs_TBI_EE_SIN_COH","phylum",2,"teria","ulfobacterota",NA,NA,NA,NA
"8bd14caf6a3b2664d15ef6c5d7a23eef","TBI_STD_vs_TBI_EE_SIN_COH","order",4,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales",NA,NA
"abdbe368fbd4c7c608e05ef71713340a","TBI_EE_COH_vs_SHAM_STD","order",4,"teria","micutes","stridia","hnospirales",NA,NA
"abdbe368fbd4c7c608e05ef71713340a","SHAM_STD_vs_SHAM_EE","order",3,"teria","micutes","stridia","hnospirales",NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_TBI_EE_COH","phylum",1,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_TBI_EE_SIN_COH","phylum",1,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_STD","phylum",3,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_EE","phylum",2,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_COH_vs_TBI_EE_SIN_COH","phylum",2,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_STD","phylum",3,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_EE","phylum",4,"teria","rucomicrobiota",NA,NA,NA,NA
