"OTU","g1vsg2","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"032fc3717d8136fccddb555b0aa201a3","TBI_STD_vs_SHAM_EE","order",5,"teria","micutes","stridia","oglobales",NA,NA
"0f1a501a6ee4fb4faec5bb3a572e9edb","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",5,"haea","rmoplasmatota","rmoplasmata","hanomassiliicoccales","hanomethylophilaceae","ultured"
"0f1a501a6ee4fb4faec5bb3a572e9edb","TBI_EE_COH_vs_SHAM_EE","genus",5,"haea","rmoplasmatota","rmoplasmata","hanomassiliicoccales","hanomethylophilaceae","ultured"
"0f1a501a6ee4fb4faec5bb3a572e9edb","TBI_EE_SIN_COH_vs_SHAM_STD","genus",5,"haea","rmoplasmatota","rmoplasmata","hanomassiliicoccales","hanomethylophilaceae","ultured"
"1bf808407b9134d8ee1ae40c4124f683","TBI_STD_vs_SHAM_EE","genus",2,"teria","teroidota","teroidia","teroidales","enellaceae","enella"
"1bf808407b9134d8ee1ae40c4124f683","TBI_EE_COH_vs_SHAM_EE","genus",4,"teria","teroidota","teroidia","teroidales","enellaceae","enella"
"1bf808407b9134d8ee1ae40c4124f683","TBI_EE_SIN_COH_vs_SHAM_EE","genus",1,"teria","teroidota","teroidia","teroidales","enellaceae","enella"
"1bf808407b9134d8ee1ae40c4124f683","SHAM_STD_vs_SHAM_EE","genus",5,"teria","teroidota","teroidia","teroidales","enellaceae","enella"
"3c74744397053ce981bef9ea5e0bc926","TBI_STD_vs_TBI_EE_COH","genus",5,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"3cbcb339fa3d4786e17ffb756634cd88","TBI_STD_vs_SHAM_STD","genus",2,"teria","micutes","ativicutes","llonellales-Selenomonadales","enomonadaceae","erovibrio"
"3cbcb339fa3d4786e17ffb756634cd88","TBI_EE_COH_vs_SHAM_STD","genus",5,"teria","micutes","ativicutes","llonellales-Selenomonadales","enomonadaceae","erovibrio"
"3cbcb339fa3d4786e17ffb756634cd88","SHAM_STD_vs_SHAM_EE","genus",3,"teria","micutes","ativicutes","llonellales-Selenomonadales","enomonadaceae","erovibrio"
"4f75b2e18a41280d3a51b71dfd217114","TBI_STD_vs_TBI_EE_SIN_COH","order",1,"teria","micutes","illi","9",NA,NA
"4f75b2e18a41280d3a51b71dfd217114","TBI_STD_vs_TBI_EE_SIN_COH","genus",2,"teria","micutes","illi","9","9","9"
"50dd335864e0cbe285c3b961b86ed629","TBI_EE_COH_vs_SHAM_STD","genus",2,"teria","micutes","stridia","hnospirales","hnospiraceae","minococcus]_torques_group"
"50dd335864e0cbe285c3b961b86ed629","TBI_EE_COH_vs_SHAM_EE","genus",3,"teria","micutes","stridia","hnospirales","hnospiraceae","minococcus]_torques_group"
"50dd335864e0cbe285c3b961b86ed629","SHAM_STD_vs_SHAM_EE","genus",1,"teria","micutes","stridia","hnospirales","hnospiraceae","minococcus]_torques_group"
"5de4560b4b6097b8da2ae549bfa6e730","TBI_STD_vs_TBI_EE_SIN_COH","genus",5,"teria","micutes","stridia","illospirales","-010","-010"
"6181e9cc4368bf49779834fd77cfa80f","TBI_EE_COH_vs_SHAM_STD","genus",3,"teria","micutes","stridia","illospirales","inococcaceae","ativibacillus"
"69b7bf31c6bdd293fa911662b38b206a","TBI_STD_vs_SHAM_STD","genus",1,"teria","micutes","illi","sipelotrichales","sipelotrichaceae","ultured"
"69b7bf31c6bdd293fa911662b38b206a","TBI_EE_COH_vs_SHAM_STD","genus",1,"teria","micutes","illi","sipelotrichales","sipelotrichaceae","ultured"
"6b042b48e48575384e883f0e55f1d66d","TBI_STD_vs_TBI_EE_SIN_COH","genus",3,"teria","micutes","stridia","hnospirales","hnospiraceae","utia"
"6b042b48e48575384e883f0e55f1d66d","TBI_STD_vs_SHAM_STD","genus",4,"teria","micutes","stridia","hnospirales","hnospiraceae","utia"
"7d5a3fd493eb86dd63d1ea6f4d01575a","TBI_STD_vs_TBI_EE_SIN_COH","genus",4,"teria","micutes","stridia","hnospirales","hnospiraceae","rococcus"
"91d07d7e704974ed88096c0e74a6ba1e","TBI_EE_SIN_COH_vs_SHAM_STD","genus",4,"teria","micutes","stridia","illospirales","illospiraceae","-003"
"965460e3768061c94179d8d9abaa8939","TBI_STD_vs_TBI_EE_COH","genus",4,"teria","micutes","stridia","illospirales","inococcaceae","1819"
"965460e3768061c94179d8d9abaa8939","TBI_EE_COH_vs_SHAM_STD","genus",4,"teria","micutes","stridia","illospirales","inococcaceae","1819"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_EE_SIN_COH_vs_SHAM_EE","genus",2,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"ae71c2e538a51e571a12a1d35ecb3975","TBI_STD_vs_TBI_EE_COH","phylum",1,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975","TBI_STD_vs_SHAM_STD","phylum",3,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975","TBI_EE_COH_vs_TBI_EE_SIN_COH","phylum",1,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975","TBI_EE_SIN_COH_vs_SHAM_STD","phylum",1,"teria","simicrobiota",NA,NA,NA,NA
"ae71c2e538a51e571a12a1d35ecb3975","TBI_STD_vs_TBI_EE_COH","order",2,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975","TBI_EE_COH_vs_TBI_EE_SIN_COH","order",3,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975","TBI_EE_SIN_COH_vs_SHAM_STD","order",2,"teria","simicrobiota","simicrobia","simicrobiales",NA,NA
"ae71c2e538a51e571a12a1d35ecb3975","TBI_STD_vs_TBI_EE_COH","genus",3,"teria","simicrobiota","simicrobia","simicrobiales","simicrobiaceae","simicrobium"
"ae71c2e538a51e571a12a1d35ecb3975","TBI_STD_vs_SHAM_STD","genus",5,"teria","simicrobiota","simicrobia","simicrobiales","simicrobiaceae","simicrobium"
"ae71c2e538a51e571a12a1d35ecb3975","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",4,"teria","simicrobiota","simicrobia","simicrobiales","simicrobiaceae","simicrobium"
"ae71c2e538a51e571a12a1d35ecb3975","TBI_EE_SIN_COH_vs_SHAM_STD","genus",3,"teria","simicrobiota","simicrobia","simicrobiales","simicrobiaceae","simicrobium"
"bc0aa157d29d6604c19bf4e18b37bc88","TBI_EE_SIN_COH_vs_SHAM_EE","genus",3,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"c1f83bd0eac0f5b9b6bb409c55d831e0","TBI_EE_SIN_COH_vs_SHAM_EE","order",5,"teria","teobacteria","maproteobacteria","kholderiales",NA,NA
"c1f83bd0eac0f5b9b6bb409c55d831e0","TBI_EE_SIN_COH_vs_SHAM_EE","genus",4,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"d4055296c3bb8a48a9b37dc101c71f01","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",2,"teria","teroidota","teroidia","teroidales","teroidales_RF16_group","teroidales_RF16_group"
"d7bcd2d5d73140edaa58294326db404e","TBI_STD_vs_SHAM_EE","genus",1,"teria","micutes","illi","sipelotrichales","sipelotrichaceae","osiella"
"d7bcd2d5d73140edaa58294326db404e","SHAM_STD_vs_SHAM_EE","genus",2,"teria","micutes","illi","sipelotrichales","sipelotrichaceae","osiella"
"db9648e6ade64e0be703e995a1abf24c","TBI_EE_COH_vs_SHAM_EE","genus",1,"teria","teroidota","teroidia","teroidales","ultured","ultured"
"dc89aafee60c460ed28bd6ea49052451","TBI_EE_COH_vs_SHAM_EE","genus",2,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospira"
"dc89aafee60c460ed28bd6ea49052451","SHAM_STD_vs_SHAM_EE","genus",4,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospira"
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_EE","phylum",4,"teria","rucomicrobiota",NA,NA,NA,NA
"f0b52d5da8a6dfae05a2c3125f970408","TBI_STD_vs_SHAM_EE","order",3,"teria","micutes","ativicutes","llonellales-Selenomonadales",NA,NA
