"OTU","g1vsg2","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"183d7a6a20b38695342d58bce245f3be","TBI_STD_vs_SHAM_STD","phylum",1,"teria","rochaetota",NA,NA,NA,NA
"183d7a6a20b38695342d58bce245f3be","TBI_EE_COH_vs_SHAM_STD","phylum",5,"teria","rochaetota",NA,NA,NA,NA
"183d7a6a20b38695342d58bce245f3be","TBI_STD_vs_SHAM_STD","order",3,"teria","rochaetota","rochaetia","rochaetales",NA,NA
"30d87e91be256a2b5f96b636ef04cda2","TBI_STD_vs_TBI_EE_SIN_COH","genus",1,"teria","micutes","stridia","tostreptococcales-Tissierellales","tostreptococcaceae","boutsia"
"31838e38978812ddc9e0a8a7d40cc0c2","TBI_STD_vs_TBI_EE_COH","genus",1,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"31838e38978812ddc9e0a8a7d40cc0c2","TBI_EE_COH_vs_SHAM_EE","genus",3,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_Ga6A1_group"
"3ab61ffb86b753b43f425d630a87e7a1","TBI_STD_vs_TBI_EE_SIN_COH","phylum",4,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_STD_vs_SHAM_EE","phylum",2,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_COH_vs_TBI_EE_SIN_COH","phylum",3,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_SIN_COH_vs_SHAM_STD","phylum",2,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_SIN_COH_vs_SHAM_EE","phylum",1,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","SHAM_STD_vs_SHAM_EE","phylum",1,"teria","nobacteria",NA,NA,NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_STD_vs_TBI_EE_SIN_COH","order",5,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_STD_vs_SHAM_EE","order",3,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_COH_vs_TBI_EE_SIN_COH","order",4,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_SIN_COH_vs_SHAM_STD","order",4,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_SIN_COH_vs_SHAM_EE","order",3,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","SHAM_STD_vs_SHAM_EE","order",2,"teria","nobacteria","pirivibrionia","tranaerophilales",NA,NA
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",5,"teria","nobacteria","pirivibrionia","tranaerophilales","tranaerophilales","tranaerophilales"
"3ab61ffb86b753b43f425d630a87e7a1","TBI_EE_SIN_COH_vs_SHAM_EE","genus",5,"teria","nobacteria","pirivibrionia","tranaerophilales","tranaerophilales","tranaerophilales"
"3c74744397053ce981bef9ea5e0bc926","TBI_STD_vs_TBI_EE_COH","genus",4,"teria","micutes","stridia","hnospirales","hnospiraceae","hnospiraceae_NK4A136_group"
"6a2635af5e61db824708f2a95508a4b5","TBI_EE_COH_vs_SHAM_STD","genus",1,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"6a2635af5e61db824708f2a95508a4b5","SHAM_STD_vs_SHAM_EE","genus",3,"teria","teroidota","teroidia","teroidales","votellaceae","votella"
"8a76ae8f05f80339a90912b26ea25f46","TBI_STD_vs_TBI_EE_COH","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46","TBI_STD_vs_SHAM_EE","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46","TBI_EE_COH_vs_SHAM_STD","genus",3,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"8a76ae8f05f80339a90912b26ea25f46","SHAM_STD_vs_SHAM_EE","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","oprevotella"
"9a1ac984fe0ec22a65cce00e01f43aa4","TBI_EE_COH_vs_SHAM_EE","genus",5,"teria","micutes","stridia","illospirales","inococcaceae","inococcus"
"ce4aa74df6165cfd3b5067fe005f94c4","TBI_STD_vs_TBI_EE_COH","genus",2,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","TBI_EE_COH_vs_TBI_EE_SIN_COH","genus",1,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ce4aa74df6165cfd3b5067fe005f94c4","TBI_EE_COH_vs_SHAM_EE","genus",2,"teria","teroidota","teroidia","teroidales","enellaceae","enellaceae_RC9_gut_group"
"ebdd31c2ddfb8569d611a614383e615c","TBI_EE_COH_vs_SHAM_STD","genus",4,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"ebdd31c2ddfb8569d611a614383e615c","TBI_EE_COH_vs_SHAM_EE","genus",4,"teria","micutes","stridia","hnospirales","hnospiraceae","hnoclostridium"
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_TBI_EE_COH","phylum",3,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_EE","phylum",1,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_COH_vs_TBI_EE_SIN_COH","phylum",2,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_STD","phylum",1,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_EE","phylum",2,"teria","rucomicrobiota",NA,NA,NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_TBI_EE_SIN_COH","order",2,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_STD","order",2,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_EE_SIN_COH_vs_SHAM_STD","order",3,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales",NA,NA
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_TBI_EE_SIN_COH","genus",3,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"ef26904830b91caa86a460c041c77fd4","TBI_STD_vs_SHAM_STD","genus",4,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales","ermansiaceae","ermansia"
"ef868a9f9181104c630bce11a89cffee","TBI_STD_vs_SHAM_STD","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_STD_vs_SHAM_EE","genus",4,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_EE_COH_vs_SHAM_STD","genus",2,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_EE_COH_vs_SHAM_EE","genus",1,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_EE_SIN_COH_vs_SHAM_STD","genus",5,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","TBI_EE_SIN_COH_vs_SHAM_EE","genus",4,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
"ef868a9f9181104c630bce11a89cffee","SHAM_STD_vs_SHAM_EE","genus",4,"teria","teroidota","teroidia","teroidales","votellaceae","votellaceae_UCG-003"
