"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"3c74744397053ce981bef9ea5e0bc926",0,"nb",5974.30438418686,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"genus",1,"3c74744397053ce981bef9ea5e0bc926genus"
"30d87e91be256a2b5f96b636ef04cda2",1.90596568961747e-259,"nb",8184.99564620107,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",1.34370581118032e-257,"genus",2,"30d87e91be256a2b5f96b636ef04cda2genus"
"9a1ac984fe0ec22a65cce00e01f43aa4",8.56628479339303e-165,"nb",5088.59455749393,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",4.02615385289472e-163,"genus",3,"9a1ac984fe0ec22a65cce00e01f43aa4genus"
"684f3fce4d1d41f68d47d11786f8f0b1",1.35069477453088e-116,"nb",3784.30836745352,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",4.76119908022135e-115,"genus",4,"684f3fce4d1d41f68d47d11786f8f0b1genus"
"97e29780fcdca010751c33e140e2d29c",2.30085873282813e-105,"nb",1705.1044119969,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",6.48842162657532e-104,"genus",5,"97e29780fcdca010751c33e140e2d29cgenus"
"684f3fce4d1d41f68d47d11786f8f0b1",0,"nb",1218.67054221034,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",0,"genus",1,"684f3fce4d1d41f68d47d11786f8f0b1genus"
"9a1ac984fe0ec22a65cce00e01f43aa4",3.17237612785276e-118,"nb",2256.6839274615,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",2.12549200566135e-116,"genus",2,"9a1ac984fe0ec22a65cce00e01f43aa4genus"
"1a34ed6eb9566e4a4c90989cee8056f8",1.76752155139516e-83,"nb",1583.62708012015,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",7.89492959623171e-82,"genus",3,"1a34ed6eb9566e4a4c90989cee8056f8genus"
"9aa3baf0e1ca0d9f7c5b119e42c52153",6.24012379412164e-72,"nb",3237.86647428572,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",2.09044147103075e-70,"genus",4,"9aa3baf0e1ca0d9f7c5b119e42c52153genus"
"9aa3baf0e1ca0d9f7c5b119e42c52153",4.72441678586731e-71,"nb",3287.7114649713,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",6.1417418216275e-70,"phylum",5,"9aa3baf0e1ca0d9f7c5b119e42c52153phylum"
"ef26904830b91caa86a460c041c77fd4",0,"nb",59062.2617767453,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"order",1,"ef26904830b91caa86a460c041c77fd4order"
"1b039cbaab99f38bec0461ac24d07eec",0,"nb",51423.4732887745,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"genus",2,"1b039cbaab99f38bec0461ac24d07eecgenus"
"ef26904830b91caa86a460c041c77fd4",0,"nb",59586.1798814833,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"genus",3,"ef26904830b91caa86a460c041c77fd4genus"
"ef868a9f9181104c630bce11a89cffee",0,"nb",66421.4341529608,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"genus",4,"ef868a9f9181104c630bce11a89cffeegenus"
"31838e38978812ddc9e0a8a7d40cc0c2",0,"nb",20517.8598227799,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"genus",5,"31838e38978812ddc9e0a8a7d40cc0c2genus"
"ef868a9f9181104c630bce11a89cffee",0,"nb",69368.8359107971,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"genus",1,"ef868a9f9181104c630bce11a89cffeegenus"
"8a76ae8f05f80339a90912b26ea25f46",0,"nb",28662.6224579215,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"genus",2,"8a76ae8f05f80339a90912b26ea25f46genus"
"3c74744397053ce981bef9ea5e0bc926",0,"nb",4029.7352116406,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"genus",3,"3c74744397053ce981bef9ea5e0bc926genus"
"30d87e91be256a2b5f96b636ef04cda2",1.25311467652456e-231,"nb",8379.87319354713,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",4.667852170054e-230,"genus",4,"30d87e91be256a2b5f96b636ef04cda2genus"
"684f3fce4d1d41f68d47d11786f8f0b1",3.79834613563683e-179,"nb",2444.18404786289,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",1.13190714841977e-177,"genus",5,"684f3fce4d1d41f68d47d11786f8f0b1genus"
"ce4aa74df6165cfd3b5067fe005f94c4",0,"nb",13994.5861083567,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",0,"genus",1,"ce4aa74df6165cfd3b5067fe005f94c4genus"
"9a1ac984fe0ec22a65cce00e01f43aa4",3.79189589814515e-282,"nb",3186.88050533831,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",2.73016504666451e-280,"genus",2,"9a1ac984fe0ec22a65cce00e01f43aa4genus"
"b2ac8b983a4ad1dd12b86b4b4cee89eb",7.4746113189502e-89,"nb",2249.22120507061,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",3.58781343309609e-87,"genus",3,"b2ac8b983a4ad1dd12b86b4b4cee89ebgenus"
"d28313e755b0d735a3f5db93b60345b9",9.89073426962368e-86,"nb",1317.89547472075,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",3.95629370784947e-84,"order",4,"d28313e755b0d735a3f5db93b60345b9order"
"6b042b48e48575384e883f0e55f1d66d",6.10285288556864e-54,"nb",1680.70424880832,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",2.19702703880471e-52,"genus",5,"6b042b48e48575384e883f0e55f1d66dgenus"
