"OTU","pvalues","model","score","g1","g2","g1vsg2","adj_pvalues","hlevel","sign_rank","OtuClass"
"ef26904830b91caa86a460c041c77fd4",0,"p",53470.5418951954,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"phylum",1,"ef26904830b91caa86a460c041c77fd4phylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",16798.637463695,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"phylum",2,"2bf1dfcdeca6629135f4014f138344aephylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",15866.8519192358,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"order",3,"2bf1dfcdeca6629135f4014f138344aeorder"
"012ef658933550c9ae6719455ba247de",0,"p",11242.8794135537,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"order",4,"012ef658933550c9ae6719455ba247deorder"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",61109.3417883576,"TBI_STD","TBI_EE_COH","TBI_STD_vs_TBI_EE_COH",0,"genus",5,"1b039cbaab99f38bec0461ac24d07eecgenus"
"ef26904830b91caa86a460c041c77fd4",0,"p",75907.8641695775,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",0,"phylum",1,"ef26904830b91caa86a460c041c77fd4phylum"
"8bd14caf6a3b2664d15ef6c5d7a23eef",0,"p",1296.41603492497,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",0,"phylum",2,"8bd14caf6a3b2664d15ef6c5d7a23eefphylum"
"ef26904830b91caa86a460c041c77fd4",0,"p",76850.4615257232,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",0,"order",3,"ef26904830b91caa86a460c041c77fd4order"
"8bd14caf6a3b2664d15ef6c5d7a23eef",0,"p",1298.00553447653,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",0,"order",4,"8bd14caf6a3b2664d15ef6c5d7a23eeforder"
"7ec2e0de3e22b59c14e75484480b550c",0,"p",19785.8630375215,"TBI_STD","TBI_EE_SIN_COH","TBI_STD_vs_TBI_EE_SIN_COH",0,"genus",5,"7ec2e0de3e22b59c14e75484480b550cgenus"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",9041.02041309273,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"phylum",1,"1b039cbaab99f38bec0461ac24d07eecphylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",11911.5984004407,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"phylum",2,"2bf1dfcdeca6629135f4014f138344aephylum"
"ef26904830b91caa86a460c041c77fd4",0,"p",58081.6370922782,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"phylum",3,"ef26904830b91caa86a460c041c77fd4phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",9042.11685488149,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"order",4,"1b039cbaab99f38bec0461ac24d07eecorder"
"ef26904830b91caa86a460c041c77fd4",0,"p",59094.2290996538,"TBI_STD","SHAM_STD","TBI_STD_vs_SHAM_STD",0,"order",5,"ef26904830b91caa86a460c041c77fd4order"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",9096.2038293451,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"phylum",1,"1b039cbaab99f38bec0461ac24d07eecphylum"
"ef26904830b91caa86a460c041c77fd4",0,"p",53453.5176538115,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"phylum",2,"ef26904830b91caa86a460c041c77fd4phylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",9102.01347921507,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"phylum",3,"2bf1dfcdeca6629135f4014f138344aephylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",21224.9448486992,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"phylum",4,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",9097.30027113386,"TBI_STD","SHAM_EE","TBI_STD_vs_SHAM_EE",0,"order",5,"1b039cbaab99f38bec0461ac24d07eecorder"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",19740.0774049818,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",0,"phylum",1,"2bf1dfcdeca6629135f4014f138344aephylum"
"ef26904830b91caa86a460c041c77fd4",0,"p",22606.6697510108,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",0,"phylum",2,"ef26904830b91caa86a460c041c77fd4phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",4604.30092703106,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",0,"phylum",3,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",14996.9043897107,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",0,"order",4,"2bf1dfcdeca6629135f4014f138344aeorder"
"012ef658933550c9ae6719455ba247de",0,"p",9526.68364211035,"TBI_EE_COH","TBI_EE_SIN_COH","TBI_EE_COH_vs_TBI_EE_SIN_COH",0,"order",5,"012ef658933550c9ae6719455ba247deorder"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5419.80296228309,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"phylum",1,"1b039cbaab99f38bec0461ac24d07eecphylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",25042.6255384911,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"phylum",2,"2bf1dfcdeca6629135f4014f138344aephylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5414.8970756717,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"order",3,"1b039cbaab99f38bec0461ac24d07eecorder"
"abdbe368fbd4c7c608e05ef71713340a",0,"p",10366.6376258627,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"order",4,"abdbe368fbd4c7c608e05ef71713340aorder"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",29424.1556884703,"TBI_EE_COH","SHAM_STD","TBI_EE_COH_vs_SHAM_STD",0,"order",5,"2bf1dfcdeca6629135f4014f138344aeorder"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5474.98637853547,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",0,"phylum",1,"1b039cbaab99f38bec0461ac24d07eecphylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",22233.0406172655,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",0,"phylum",2,"2bf1dfcdeca6629135f4014f138344aephylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",20393.0822141377,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",0,"phylum",3,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5470.08049192408,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",0,"order",4,"1b039cbaab99f38bec0461ac24d07eecorder"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",34843.7130535035,"TBI_EE_COH","SHAM_EE","TBI_EE_COH_vs_SHAM_EE",0,"order",5,"2bf1dfcdeca6629135f4014f138344aeorder"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5058.64089462131,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"phylum",1,"1b039cbaab99f38bec0461ac24d07eecphylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",14853.0383417275,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"phylum",2,"2bf1dfcdeca6629135f4014f138344aephylum"
"ef26904830b91caa86a460c041c77fd4",0,"p",27217.7649480936,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"phylum",3,"ef26904830b91caa86a460c041c77fd4phylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",10512.8797395275,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"phylum",4,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5042.26224520059,"TBI_EE_SIN_COH","SHAM_STD","TBI_EE_SIN_COH_vs_SHAM_STD",0,"order",5,"1b039cbaab99f38bec0461ac24d07eecorder"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5113.82431087369,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"phylum",1,"1b039cbaab99f38bec0461ac24d07eecphylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",12043.4534205019,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"phylum",2,"2bf1dfcdeca6629135f4014f138344aephylum"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",17183.9574257896,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"phylum",3,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"ef26904830b91caa86a460c041c77fd4",0,"p",22589.6455096269,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"phylum",4,"ef26904830b91caa86a460c041c77fd4phylum"
"1b039cbaab99f38bec0461ac24d07eec",0,"p",5097.44566145297,"TBI_EE_SIN_COH","SHAM_EE","TBI_EE_SIN_COH_vs_SHAM_EE",0,"order",5,"1b039cbaab99f38bec0461ac24d07eecorder"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",26301.6610266341,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"phylum",1,"3ab61ffb86b753b43f425d630a87e7a1phylum"
"2bf1dfcdeca6629135f4014f138344ae",0,"p",37680.5313888901,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"order",2,"2bf1dfcdeca6629135f4014f138344aeorder"
"abdbe368fbd4c7c608e05ef71713340a",0,"p",16609.7897526976,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"order",3,"abdbe368fbd4c7c608e05ef71713340aorder"
"3ab61ffb86b753b43f425d630a87e7a1",0,"p",26301.6610266341,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"order",4,"3ab61ffb86b753b43f425d630a87e7a1order"
"012ef658933550c9ae6719455ba247de",0,"p",5834.86567646664,"SHAM_STD","SHAM_EE","SHAM_STD_vs_SHAM_EE",0,"order",5,"012ef658933550c9ae6719455ba247deorder"
